,prob_nearest,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,vision,population
0,0.6,2,81.0,97.58,1.6512820512820512,21.962592592592596,16.786420219800323,2,200
27,1.0,2,100.0,43.34,4.632216014897579,20.93075,11.582063760065003,2,200
26,1.0,2,100.0,43.480000000000004,4.652794014496142,22.32995,11.770181748360866,2,200
25,0.9,2,97.5,98.63,1.9814115003574713,26.731948717948725,15.625521328950287,2,200
24,1.0,2,100.0,45.34,4.444940808577172,20.19595,12.586609942583177,2,200
23,0.8,2,97.0,98.06,1.981926473608544,28.72123711340207,18.379846293072134,2,200
22,0.8,2,88.0,91.01,1.931354155170511,25.10471590909091,14.731848256810423,2,200
21,0.9,2,93.0,99.85000000000001,1.861916264090177,23.29741935483871,17.236832367376227,2,200
20,0.9,2,97.5,85.41,2.283696291936433,22.22635897435897,14.025665229435827,2,200
19,0.9,2,98.5,74.13,2.6605130989547985,20.606903553299496,12.845539210480714,2,200
18,0.9,2,97.0,91.42,2.123445923643965,20.831855670103092,13.801312269956192,2,200
17,0.8,2,88.0,96.14,1.8288222384784198,23.33034090909091,14.300584239722607,2,200
16,0.8,2,89.0,94.51,1.8904197372636973,21.435449438202248,14.210427462498114,2,200
15,0.7,2,77.0,98.22,1.566659840262134,22.981103896103892,17.33180674128464,2,200
14,0.6,2,63.5,47.57,2.6986506746626686,16.800708661417328,9.779544020037184,2,200
13,0.7,2,79.5,99.49000000000001,1.5884186186789986,19.468930817610058,15.185906965624453,2,200
12,0.7,2,84.5,96.52,1.7459987528580336,21.971360946745563,15.500282637012631,2,200
11,0.8,2,91.0,96.59,1.8850239533430533,23.281043956043955,17.759774042545025,2,200
10,0.7,2,86.0,89.01,1.9213483146067416,22.735755813953485,13.64080321282078,2,200
9,0.6,2,84.0,89.53,1.8766153500393303,23.918750000000003,15.642728952674029,2,200
8,0.7,2,87.0,75.87,2.2805167413656737,19.819080459770113,14.319197884354146,2,200
7,0.5,2,55.50000000000001,28.16,3.95825836631882,12.973243243243244,7.368686593486122,2,200
6,0.5,2,56.00000000000001,28.150000000000002,4.002884962134872,12.209910714285716,6.849765629650801,2,200
5,0.5,2,59.5,98.46000000000001,1.2075317232910354,14.995882352941178,11.456858904260956,2,200
4,0.5,2,57.49999999999999,88.51,1.2881355932203389,13.09617391304348,11.41665539115402,2,200
3,0.6,2,70.0,35.68,3.9714285714285715,18.000285714285713,9.214718828225182,2,200
2,0.5,2,69.0,96.35000000000001,1.433354258213015,16.533985507246378,11.391627770861433,2,200
1,0.6,2,73.5,98.66,1.4923847490544824,19.47517006802721,16.078066032141194,2,200
28,1.0,2,100.0,49.410000000000004,4.062053480302103,24.821199999999997,13.45452652380973,2,200
29,1.0,2,100.0,46.77,4.301772589710333,22.747600000000002,13.116619640515992,2,200
